event_id,user_id,product_id,event_timestamp,event_type
100,user_103,Traktor Pro,2025-08-16 18:00:00,project_saved
101,user_102,Komplete Kontrol,2025-06-01 12:00:00,app_opened
102,user_103,Maschine,2025-06-01 13:00:00,app_opened
103,user_104,Traktor Pro,2025-06-01 14:00:00,app_opened
104,user_105,Maschine,2025-06-02 16:00:00,app_opened
105,user_106,Traktor Pro,2025-06-03 17:00:00,app_opened
106,user_107,Komplete Kontrol,2025-06-03 18:00:00,app_opened
107,user_108,Maschine,2025-07-01 19:00:00,app_opened
108,user_109,Komplete Kontrol,2025-07-01 20:00:00,app_opened
109,user_110,Traktor Pro,2025-07-02 21:00:00,app_opened
110,user_111,Maschine,2025-07-02 22:00:00,app_opened
111,user_112,Komplete Kontrol,2025-07-03 23:00:00,app_opened
112,user_101,Maschine,2025-07-03 08:00:00,app_opened
113,user_103,Komplete Kontrol,2025-08-01 09:00:00,app_opened
114,user_104,Traktor Pro,2025-08-01 10:00:00,app_opened
115,user_105,Komplete Kontrol,2025-08-02 11:00:00,app_opened
116,user_106,Maschine,2025-08-02 12:00:00,app_opened
117,user_107,Traktor Pro,2025-08-03 13:00:00,app_opened
118,user_108,Maschine,2025-08-03 14:00:00,app_opened
119,user_109,Komplete Kontrol,2025-08-04 15:00:00,app_opened
120,user_110,Maschine,2025-08-04 16:00:00,app_opened
